Species;Family;Clade;type_of_care;number_of_parents;care_duration;care_duration_in_males;care_in_males_binary;care_duration_in_females;care_in_females_binary;protection;protection_in_males;protection_in_females;nourishment_by_females;nourishment_by_females_binary;terrestrial_reproduction;direct_development;female_SVL ;male_SVL;average_male_female_SVL;SSD;Egg_diameter;Log_egg_diameter;Clutch_size;Log_Clutch_size;Clutch_volume;Log_Clutch_volume;Parental care references;Terrestrial / aquatic reproduction references;Direct development references;Female size references;Male size references;Egg size references;Clutch size references
Limnonectes_blythii;Dicroglossidae;Natatanura;male-only care ;1;1;1;1;0;0;1;1;0;0;0;0;absent;152,5;NA;NA;NA;1,825;0,26;1826;3,26;4774,15;3,68;Amphibiaweb;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Limnonectes_finchi;Dicroglossidae;Natatanura;male-only care ;1;2;2;1;0;0;3;3;0;0;0;1;absent;42;NA;NA;NA;1,98;0,3;35,5;1,55;109,25;2,04;Amphibiaweb;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Han & Fu 2013, Summers et al. 2006;Gomez-Mestre et al. 2012
Limnonectes_fujianensis;Dicroglossidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;47,5;53,9;50,7;0,05;2,3;0,36;53;1,72;220,09;2,34;Han & Fu 2013;;Amphibiaweb;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013;Han & Fu 2013
Limnonectes_ibanorum;Dicroglossidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;1122;3,05;NA;NA;Han & Fu 2013;;Amphibiaweb;;;;Han & Fu 2013
Limnonectes_kuhlii;Dicroglossidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;57,45;55,6;56,53;-0,01;2,15;0,33;60;1,78;217,72;2,34;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2172;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012, Han & Fu 2013;Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
Limnonectes_larvaepartus;Dicroglossidae;Natatanura;female-only care ;1;2;0;0;2;1;5;0;5;0;0;NA;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Iskandar et al. 2014;;Iskandar et al. 2014;;;;
Limnonectes_macrodon;Dicroglossidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;1,4;0,15;1660;3,22;2554,08;3,41;Han & Fu 2013, Summers et al. 2006;;Amphibiaweb;;;Han & Fu 2013, Summers et al. 2006;Han & Fu 2013
Limnonectes_magnus;Dicroglossidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;1;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;;;
Limnonectes_palavanensis;Dicroglossidae;Natatanura;male-only care ;1;2;2;1;0;0;3;3;0;0;0;NA;absent;NA;NA;NA;NA;2,295;0,36;NA;NA;NA;NA;IUCN;;IUCN;;;IUCN;
Liophryne_rhododactyla;Microhylidae;Microhylidae;male-only care ;1;1;1;1;0;0;2;2;0;2;1;1;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Amphibiaweb, Wells 2007;Amphibiaweb;Gomez-Mestre et al. 2012;;;;
Liophryne_schlaginhaufeni;Microhylidae;Microhylidae;male-only care ;1;3;3;1;0;0;3;3;0;2;1;1;present;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Bickford 2002;Amphibiaweb;Gomez-Mestre et al. 2012;;;;
Lithobates_areolatus;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;2,5;0,4;7000;3,85;34343,75;4,54;Han & Fu 2013;;Amphibiaweb;;;Han & Fu 2013;Han & Fu 2013
Lithobates_berlandieri;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2336;Gomez-Mestre et al. 2012;;;;
Lithobates_blairi;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;NA;absent;NA;NA;NA;NA;NA;NA;5250;3,72;NA;NA;Han & Fu 2013;;Amphibiaweb;;;;Han & Fu 2013
Lithobates_capito;Ranidae;Natatanura;no care;0;0;0;0;0;0;0;0;0;0;0;0;absent;75,5;NA;NA;NA;2,05;0,31;4363,5;3,64;14395,02;4,16;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2233;Gomez-Mestre et al. 2012;Gomez-Mestre et al. 2012;;Gomez-Mestre et al. 2012, Han & Fu 2013;Gomez-Mestre et al. 2012, Han & Fu 2013
