"country","state","locality","date","sex","life_stage","genus","order","family","geometry"
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","11-Oct-25","female","juvenile","Peromyscus","Rodentia","Cricetidae",c(-83.45277197, 35.03910997)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","19-Apr-25","male","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45256401, 35.03891802)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","19-Apr-25","male","subadult","Peromyscus","Rodentia","Cricetidae",c(-83.45252696, 35.03893998)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","23-Apr-25","female","juvenile","Peromyscus","Rodentia","Cricetidae",c(-83.45251297, 35.03898097)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","22-Apr-25","male","adult","Blarina","Soricomorpha","Soricidae",c(-83.45248598, 35.038396)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","23-Apr-25","male","subadult","Peromyscus","Rodentia","Cricetidae",c(-83.45248003, 35.03907904)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.57 km ENE Albert Mountain, along FR 751","11-Oct-25","female","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45247097, 35.03871401)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","1-Aug-25","female","adult","Peromyscus","Rodentia","Cricetidae",c(-83.452462, 35.038871)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","21-Apr-25","male","adult","Sorex","Soricomorpha","Soricidae",c(-83.45245698, 35.03830296)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","22-Apr-25","male","adult","Sorex","Soricomorpha","Soricidae",c(-83.45245698, 35.03830296)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","1-Aug-25","female","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45245597, 35.03905599)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","30-Jul-25","female","adult","Sorex","Soricomorpha","Soricidae",c(-83.45245002, 35.03854704)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","2-Aug-25","male","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45240098, 35.03906404)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","24-Apr-25","male","adult","Napeozapus","Rodentia","Dipodidae",c(-83.45239897, 35.03856397)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","31-Jul-25","female","subadult","Peromyscus","Rodentia","Cricetidae",c(-83.45238296, 35.03890998)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","21-Apr-25","male","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45236704, 35.038799)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","24-Apr-25","male","adult","Napeozapus","Rodentia","Dipodidae",c(-83.45236201, 35.03831101)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","30-Jul-25","male","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45234902, 35.03900503)
