USE_LICENSE_URL,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,SEX,LIFE_STAGE,GENUS,PHYLORDER,FAMILY,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,SPECIES
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,Lamoille,May-36,40.72806,-115.4775,unknown,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,13 mi SSW Whiterock,6-Jul-37,41.56791,-116.28152,unknown,,Urocitellus,Rodentia,Sciuridae,5600,5600,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,13 mi SSW Whiterock,6-Jul-37,41.56791,-116.28152,male,,Urocitellus,Rodentia,Sciuridae,5600,5600,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,6 mi S Minden,28-Jun-39,38.86719,-119.76472,male,,Urocitellus,Rodentia,Sciuridae,4850,4850,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Kingston Canyon, Toiyabe Range",13-May-39,39.16222,-117.09639,female,,Urocitellus,Rodentia,Sciuridae,7500,7500,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"0.25 mi E Zephyr Cove, Lake Tahoe",30-Aug-36,39.00466,-119.945312,unknown,,Urocitellus,Rodentia,Sciuridae,6300,6300,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,6 mi S Minden,19-Jul-40,38.86719,-119.76472,male,,Urocitellus,Rodentia,Sciuridae,4850,4850,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,6 mi S Minden,19-Jul-40,38.86719,-119.76472,male,,Urocitellus,Rodentia,Sciuridae,4850,4850,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,6 mi S Minden,19-Jul-40,38.86719,-119.76472,female,,Urocitellus,Rodentia,Sciuridae,4850,4850,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,6 mi S Minden,19-Jul-40,38.86719,-119.76472,female,,Urocitellus,Rodentia,Sciuridae,4850,4850,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,6 mi S Minden,19-Jul-40,38.86719,-119.76472,female,,Urocitellus,Rodentia,Sciuridae,4850,4850,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,6 mi S Minden,19-Jul-40,38.86719,-119.76472,female,,Urocitellus,Rodentia,Sciuridae,4850,4850,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Barrel Spring, 9 mi E, 3 mi N Fort Bidwell",12-Jul-41,41.90407,-119.97586,male,,Urocitellus,Rodentia,Sciuridae,5700,5700,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"3 mi S Lamoille, Humboldt National Forest",24-Jun-50,40.68458,-115.4775,male,,Urocitellus,Rodentia,Sciuridae,,,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,9 mi E Jarbidge Peak,14-Jun-55,41.84056,-115.21645,female,,Urocitellus,Rodentia,Sciuridae,7600,7600,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"0.5 mi S Scout Pass, Ruby Mts.",20-Jun-55,,,male,,Urocitellus,Rodentia,Sciuridae,6450,6450,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Thomas Creek, Ruby Mts.",16-Jun-56,40.65028,-115.40583,male,,Urocitellus,Rodentia,Sciuridae,7600,7600,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Thomas Creek, Ruby Mts.",20-Jun-56,40.65028,-115.40583,female,,Urocitellus,Rodentia,Sciuridae,7600,7600,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"Thomas Creek, Ruby Mts.",20-Jun-56,40.65028,-115.40583,female,,Urocitellus,Rodentia,Sciuridae,7600,7600,Urocitellus beldingi
http://mvz.berkeley.edu/mvzdata_terms; https://creativecommons.org/licenses/by/3.0,United States,Nevada,"camp, vicinity Onion Valley Reservoir, 3.15 km N & 1.31 km W Duffer Peak summit, Pine Forest Range",29-Jun-12,41.69051,-118.74519,male,,Urocitellus,Rodentia,Sciuridae,7096,7096,Urocitellus beldingi
